instance,exact,approximate
70-1.0-3-0.32-0-0-24,12,13
70-2.5-3-0.41-0-0-100,30,33
70-2.5-3-0.43-0-0-10,30,33
70-3.1-3-0.0-0-0-12,41,44
70-2.2-3-0.22-0-0-62,31,32
70-1.0-3-0.17-0-0-41,15,18
70-2.2-3-0.14-0-0-50,32,34
70-3.4-3-0.11-0-0-20,41,42
70-1.3-3-0.41-0-0-3,16,16
70-4.0-3-0.22-0-0-10,43,45
70-4.0-3-0.3-0-0-80,41,43
70-1.6-3-0.33-0-0-20,21,22
70-3.4-3-0.31-0-0-60,38,40
70-4.0-3-0.2-0-0-40,42,44
70-1.3-3-0.01-0-0-91,23,24
70-1.3-3-0.26-0-0-10,16,17
70-2.2-3-0.03-0-0-1,35,37
70-1.3-3-0.15-0-0-10,20,23
70-1.0-3-0.21-0-0-1,13,13
70-2.2-3-0.0-0-0-23,34,37
70-1.0-3-0.28-0-0-100,12,12
70-2.2-3-0.12-0-0-61,34,38
70-1.3-3-0.13-0-0-32,23,25
70-1.6-3-0.24-0-0-10,21,23
